SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;PILIHAN E;KUNCI JAWABAN;;;;;;
India . . . an independent country since 1947.;was;was being;has been;had been;;c;;;;;;Keterangan waktu since 1947 menunjukkan penggunaan bentuk present perfect tense (C)
….nothing for several days, the old lady was very hungry.;Had not eaten;Having eaten;Having been eaten;Have just eaten;;b;;;;;;Dibutuhkan bentuk participle di awal kalimat yang berarti karena (B)
Andy bought all the tools ...... are required to fix his old car.;who;which;whom;whose;;b;;;;;;Dibutuhkan connector untuk adjective clause yang menerangkan benda, yaitu tools (B)
When he was hypnotized, we found out that he actually preferred …. with short hair.;to a girl;have a girl;girl having;a girl;;d;;;;;;Kata prefer dapat diikuti oleh bentuk gerund, to infinitive ataupun noun, maka bentuk yang paling tepat adalah a girl (noun) (D)
About ten of the Earth’s land area or nearly 5,8 million square miles .... by glacial ice.;are covered;has covered;is covered;covers;;c;;;;;;Kata kerja yang tepat untuk subject, yaitu about ten of the Earth’s land area yang merupakan singular noun adalah is covered (C)
….the government's protection, he was the victim of an assassination attempt which killed him;Even though;Because of;Despite;Owing to;;c;;;;;;Dibutuhkan conjunction yang diikuti oleh bentuk noun phrase yang menunjukkan makna bertolak belakang (C)
Maria . . . . an appointment to see her dentist and it is at 09.00 am tomorrow.;make;will make;makes;will be making;;d;;;;;;Bagian kalimat ... at 9.00 am tomorrow, menujukkan waktu yang spesifik di masa depan, maka tense yang tepat adalah present future continuous tense (D)
They are intent on . . . . as much money as they can for their club like washing cars, and doing house-chores are all part of their campaign.;get;getting;gets;got;;b;;;;;;Kata intent on diikuti oleh bentuk gerund (B)
The police officer identified the murderer . . . fingerprints were on the gun.;who;whose;whom;which;;b;;;;;;Dibutuhkan connector untuk melengkapi adjective clause yang menunjukkan kepemilikan, yaitu whose (B)
As the patient could not walk he . . . home in a wheel chair.;has carried;was carrying;has been carried;was carried;;d;;;;;;Dibutuhkan passive verb, untuk subject yaitu he, yang berarti dibawa (D)
Because(A) the dog experiences decreasing(B) number of red blood cells, its(C) nose turns ashily(D).;Because;Decreasing;Its;Ashily;;d;;;;;;Seharusnya Ashy. Turns termasuk linking verbs sehingga harus diikuti Adjective. (D)
It is them(A), he and his pregnant wife, who(B) offer us free drink as an(C) anniversary Celebration(D).;Them;Who;Anniversary;Celebration;;a;;;;;;Seharusnya They. Terdapat koma setelah them, dan and antara he dan his pregnant wife. Sehingga harus setara, yaitu pronoun sebagai Subjek (A)
There are more than 20 essential sections(A) of the Great Wall of China in hebei Province, which most(B) were built(C) in the(D) Ming Dynasty.;Sections;Which most;Were built;The;;b;;;;;;Seharusnya Which Mostly. Untuk menerangkan kata kerja (Built) dibutuhkan adverb yaitu mostly. (B)
A raft of indicator(A) suggested that China’s economy is cooling(B) more rapidly(C) than had been thought(D).;Indicator;Is cooling;Rapidly;Had been thought;;b;;;;;;Seharusnya be cool. Form : S + Verb (any tense)+THAT+S2+Bare Verb/be. (B)
Bobby prefers to(A) drink green smoothies with(B) a drop of lemon than(C) vegetable juices to keep him healthy(D).;To;With;Then;Healthy;;c;;;;;;Seharusnya To, yaitu pasangan dari Prefers. (C)
The actor was captured(A) after he confessed that(B) he and two others(C) suspects threatened the victim with a stun gun(D).;Was captured;That;Others;A stun gun;;c;;;;;;Seharusnya other saja, tidak boleh dibuat jamak karena diikuti benda jamak yaitu suspects. (C)
The median of annual mothers working(A) hours has increased(B) dramatically by(C) 960 hours since(D) 1979 and 2012.;Working;Hours has increased;By;Since;;d;;;;;;Seharusnya beetween (diantara dua). Di antara 1979 dan 2012. (D)
Rarely she answered(A) my phone calls(B) when(C) she was away for(D) summer vacation.;Answered;Calls;When;For;;a;;;;;;Seharusnya Did she answer. Karena terdapat Ungkapan Negatif di awal kalimat, harus diinversi. (A)
After(A) doing yoga, Nina is accustomed to have(B) a glass of lemon water(C) to detox her(D) body.;After;Have;Lemon water;Her;;b;;;;;;Seharusnya having. Form : To + Accustomed to + V-ING. (B)
The patient(A) who(B) the physician diagnosed(C) with cancer left suddenly(D).;The patient;Who;Diagnosed;Suddenly;;c;;;;;;Seharusnya Has. Simple Present Tense, kebenaran umum. (C)
