SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;PILIHAN E;KUNCI JAWABAN;;;;;;
Agunan =;Nasi;Jaminan;Tarik;Kalimat;;b;;;;;;
Bicu =;Dongkrak;Sejenis tanaman;Gabah;Hadiah;;a;;;;;;
Dispensasi =;Cuti;Pengecualian;Hak;Liburan;;b;;;;;;
Hepotenusa =;Kesimpulan;Jiwa;Yakin;Sisi miring;;d;;;;;;
Iterasi =;Membaca;Riwayat;Perulangan;Jalan Hidup;;c;;;;;;
Bonafid ><;Marjinal;Konstan;Monolog;Resesi;;a;;;;;;
Degenerasi ><;Kemajuan;Penambahan;Pembelajaran;Penguatan;;a;;;;;;
Elektik ><;Tegangan;Sejenis Minuman;Tak pilih-pilih;Sejenis Kendaraan;;c;;;;;;
Harmoni ><;Takut;Sakit;Pasif;Tumbang;;d;;;;;;
Takzim ><;Wajar;Lancang;Menghafal;Membaca;;b;;;;;;
Pesawat : Avtur;Radio : Listrik;Sepeda motor : Bensin;Hand phone : Baterai;Tape mobil : Accu;;b;;;;;;
Indonesia : Belanda;Malaysia : Inggris;India : Spanyol;Australia : Selandia Baru;Singapura : China;;a;;;;;;
Pupuk : Petani = Solar : . . .;SPBU;Rakyat;Pengusaha;Transportasi;;c;;;;;;
Indonesia : Soekarno = Amerika Serikat : . . .;Abraham Lincoln;John F.Kennedy;Uncle Sam;George Washington;;d;;;;;;
Mana yang tidak masuk dalam kelompoknya ?;Perseteruan;Pertengkaran;Pertikaian;Penyelarasan;;b;;;;;;
Seri angka : 17 21 23 27 selanjutnya;31;33;32;29;;d;;;;;;17 21 23 27 29. Seri ini punya selisih +4, +2, +4, +2 (D)
Seri angka : 50 100 67 200 85 400 104 700 selanjutnya;120;800;124;123;;c;;;;;;Ada dua seri. 50 67 85 104 124 dst (selisih +17, +18 dst) 100 200 400 700 (selisih +100, +200 dst) (D)
Suatu seri huruf : z v r selanjutnya;m;o;t;n;;d;;;;;;Seri huruf : z v r n dst. meloncati 3 huruf dan dimulai dari z ke depan (E)
Seri huruf : h m i n j selanjutnya;l p;m k;o k;z a;;c;;;;;;Ada dua seri huruf : m n o dst serta seri h i j k dst (C)
169 196 225 256 ...;892;829;298;289;;d;;;;;;Pola barisan kuadrat
Judul yang paling sesuai dengan bacaan di atas adalah…;Kethoprak;Kesenian Jawa;Kesenian Tradisional;Sejarah Kethoprak;;a;;;;;;
Hal yang tidak diungkapkan dalam bacaan di atas adalah;Pengertian Kethoprak;Asal Kata Kethoprak;Pementasan kethoprak menggunakan bahasa Jawa;Penemu Kethoprak;;d;;;;;;
Pernyataan yang sesuai dengan bacaan di atas adalah;Kethoprak adalah satu- satunya kesenian tradisional yang masih bertahan hingga sekarang;Kehtoprak menggunakan iringan suara lesung dan seruling;Kethoprak mencapai puncaknya di Jogja sekitar tahun 1050an;Hiburan kethoprak hanya diminati oleh rakyat kecil;;c;;;;;;
Ide pokok bacaan di atas yang paling tepat adalah;Kethoprak adalah satu kesenian tradisional yang masih bertahan hingga sekarang.;Kethoprak di satu pihak mirip dengan operet.;Setiap penampilan Kethoprak selalu ada pelawak yang membuat kethoprak terasa semakin hidup.;Kethoprak disuguhkan mengangkat cerita humor yang dapat mengundang tawa.;;a;;;;;;
Semua KTM Mahasiswa spesialisasi Penilai berwarna orange. Sebelum 2014, KTM Mahasiswa Penilai berwarna kuning. Sekarang, setiap spesialisasi memiliki warna KTM yang berbeda. Hanya ada satu spesialisasi yang berganti warna KTM. Ada mahasiswa spesialisasi PAAK yang sengaja memakai KTM berwarna oranye.;Sebelum 2014, KTM mahasiswa spesialisasi pajak berwarna oranye.;KTM Mahasiswa spesialisasi Pajak dan Penilai adalah kuning.;KTM mahasiswa spesialisasi Pajak ganti menjadi warna oranye.;Sekarang, KTM berwarna oranye hanya untuk spesialisasi Penilai.;;d;;;;;;
Burung cendrawasih berwarna indah. Semua burung dapat terbang.;Semua burung berwarna indah.;Ada burung yang tidak dapat terbang.;Semua yang indah dapat terbang.;Burung cendrawasih dapat terbang.;;d;;;;;;
Jika U adalah siswa yang menyelesaikan ujian sebelum O, dan F selesai setelah W, manakah yang kesimpilan berikut ini tidak bisa benar jika M selesai setelah U dan sebelum F ?;M selesai sebelum O;U selesai sebelum W;F selesai sebelum O;W selesai sebelum K;;d;;;;;;
Beberapa D adalah V. Semua V adalah K. Semua D adalah S.;Beberapa S adalah D;Beberapa K adalah bukan D;Beberapa K adalah S;Semua D adalah K;;c;;;;;;
Jika Juwita dan Aulya ditunjuk sebagai anggota delegasi, maka di antara anggota di bawah ini yang pasti tidak ditunjuk sebagai delegasi adalah…;Devi;Libby;Lidya;Sierra;;c;;;;;;
Jika pimpinan organisasi menginginkan Sita, Devi dan Libby untuk duduk sebagai anggota delegasi, maka jumlah minimum delegasi yang harus diberangkatkan adalah;2;3;4;5;;c;;;;;;
x dan y adalah bilangan asli dengan x > y. Jika  ${ x }^{ 2 }-10x+24=0$ dan xy + x + y = 34, maka nilai x dikali y adalah…;35;24;18;12;;b;;;;;;Akar dari $x^{ 2 }-10x+24=0$ adalah x = 4 atau x =6. Karena x > y maka x = 6 dan y = 4, nilai x kali y adalah 6 x 4 = 24
$(\frac { 674 }{ 2 } )^{ 2 }–(\frac { 326 }{ 2 } )^{ 2 }$ = …;81.000;83.000;85.000;87.000;;d;;;;;;(674/2)^{ 2 }–(326/2)^{ 2 }=337^{ 2 }–163^{ 2 }=(337+163)(337–163)=(500)(174)=87.000(D)
Luas sebidang tanah berbentuk persegi panjang, yaitu 4.320 meter persegi. Jika panjang tanah itu 12 m lebih panjang daripada lebarnya, berapakah panjang dan lebar tanah tersebut?;72 dan 60;72 dan 50;62 dan 60;62 dan 50;;a;;;;;;"Misalnya panjang tanah x meter dan lebar 4 meter, maka y = (x-12) meter ; Luas tanah = x.y = 4320 = x (x-12) ; ${ x }^{ 2 }-12x-4320$ = (x-72) (x+60) = 0 ; x = 72 atau x = -60 .Karena panjang tanah harus positif, nilai yang memenuhi adalah x = 72, y = 72-12 = 60 (A)"
Selisih dua bilangan positif adalah 5. Jumlah kuadratnya sama dengan 1500 kurangnya dari kuadrat jumlah kedua bilangan itu. Jumlah kedua bilangan tersebut adalah;45;50;55;60;;c;;;;;;"a-b = 5, a = b + 5 ; ${ a }^{ 2 }+{ b }^{ 2 }=(a+b)^{ 2 }–1500;{ a }^{ 2 }+{ b }^{ 2 }={ a }^{ 2 }+2ab+{ b }^{ 2 }–1500$ ; 2ab = 1500 = 2(b+5)b = 1500 ; $5b+{ b }^{ 2 }=750={ b }^{ 2 }+5b–750=0$ ; (b-25) (b+30) ; B = 25, A = 30 ; A + B = 30 + 25 = 55 (C)"
Suatu produsen komponen membagi karyawan menjadi 3 shift dengan istirahat 1 jam untuk setiap shift sehingga setiap harinya dapat berproduksi terus. Jika jumlah produksi adalah 238 komponen/jam,dalam 1 hari produsen tersebut memproduksi komponen sebanyak;4.284;4.998;5.712;7.140;;b;;;;;;"Waktu = 21 jam ; Kecepatan = 238 komponen/jam ; Produksi = 21 x 238 = 4.998"
Diketahui x dan y dua bilangan positif. Rata-rata dari 7,17 dan x sama dengan rata-rata y dan 16. Rasio antara x dan y berturut-turut adalah;02:03;03:02;03:05;05:03;;b;;;;;;"(7+17+x)/3 = (y+16)/2 = (24+x)/3 = (y+16)/2 ; x/3 = y/2; 2x = 3y ; x:y = 3:2"
Sebuah kotak berbentuk balok berukuran panjang 63 cm, lebar 21 cm, dan tinggi 42 cm. Kedalamannya diisi semuat-muatnya bola basket berdiameter 21 cm dan air untuk memenuhi ruang dalam balok itu hingga penuh. Berapakah volum air yang diperlukan?;18,7 L;22,32 L;34,68 L;26,46 L;;d;;;;;;"Balok itu diisi oleh = 63/21 x 21/21 x 42/21 = 6 bola basket ; Vair = V balok – V bola x banyak bola = 55566 – 29106 = 26460 cm3 = 26,46 L"
Dari 100 orang yang disurvei terungkap bahwa 42 orang di antaranya pernah makan di restoran P dan 32 diantaranya pernah makan di restoran Q, di antara yang berikut ini, manakah yang tidak mungkin merupakan jumlah orang yang tidak pernah makan baik di restoran P maupun di restoran Q?;24;28;32;38;;a;;;;;;"Misal x = Orang yang pernah makan di P dan Q, y = Orang yang tidak pernah makan di P dan Q  ; (42-x) + x + (32-x) +y = 100 ; 74 – x + y = 100 ; y = 100-74 + x ; y = 26 + x ; yang tidak mungkin opsi (A) karena kurang dari 26"
Jika Abu Khuzaimah Al Bantani memacu motornya dari rumah ke masjid dengan kecepatan 24 km/jam maka ia akan terlambat 15 menit, tetapi jika ia memacu motornya dengan kecepatan 36 km/jam maka ia akan sampai 10 menit lebih awal. Berapa jarak tempuh rumah Abu Khuzaimah Al Bantani ke masjid?;32,5 km;35 km;40 km;65 km;;d;;;;;;"s1 = s2 ; 24t + 15 = 36t -10 ; t = 25/6 jam ; Jarak = 24t + 15 = 24 . 25/6 + 15 = 65 km ; Jarak = 36t – 10 = 36 . 25/6 -10 = 65 km"
Seorang pedagang bernama Cik Icik Bum membeli 10 karung beras dengan harga Rp 210.000/karung. Jika setengahnya dijual Rp 224.000/karung dan sisa nya dijual Rp 232.000/karung, berapa persen keuntungan pedagang bernama Cik Icik Bum tersebut?;7,57%;7,85%;8,57%;9,15%;;c;;;;;;"Penjualan = (224.000 x 5) + (232.000x5) = 2.280.000 ; Pembelian = 210.000 x10 = 2.100.000 ; Keuntungan = (2.280.000-2.100.000)/2.100.000 x 100% = 8,57%"
Seorang penjahit hendak membuat sapu tangan segi empat dengan ukuran 21 cm x 21 cm. Berapa kali penjahit harus memotong kain yang berukuran 84 cm x 84 cm untuk menghasilkan sapu tangan itu tanpa menggunakan alat ukur dengan cara yang paling efisien?;2;3;4;6;;b;;;;;;(1)Kain di bagi 2 (2)potongan bagian pertama dibagi 2 (3)potongan kedua dibagi 2
Tujuh tahun yang lalu, umur ayah sama dengan enam kali umur Ady. Jika tahun depan umur ayah dua lebihnya dari tiga kali umur Ady, berapa tahun umur Ady lima tahun yang akan datang?;16;18;19;20;;b;;;;;;Misalkan Umur Ayah Sekarang = A Dan Umur Ady Sekarang = K. Tujuh Tahun Yang Lalu, Umur Ayah Sama Dengan Enam Kali Umur Ady Maka, (A ? 7) = 6(K ? 7). Dengan Menyederhanakan Persamaan Di Atas Diperoleh A ? 6k = ?35 ...(I). Tahun Depan Umur Ayah Dua Lebihnya Dari Tiga Kali Umur Ady Maka, (A + 1) = 3(K + 1) + 2. Sederhanakan Menjadi A ? 3k = 4 ...(II). Dengan Menyelesaikan Sistem Persamaan Linier Yang Dibentuk Dari (I) Dan (II) Diperoleh K = 13. Jadi Umur Adylima Tahun Yang Akan Datang Adalah 13 + 5 = 18
